Price,Retail Price Index,is_holiday,month,day_of_week
0.85,859.6,0,1,0
0.85,859.6,0,1,0
3.25,859.6,0,1,0
0.42,859.6,0,1,0
4.25,859.6,0,1,0
2.55,859.6,0,1,0
2.95,859.6,0,1,0
0.85,859.6,0,1,0
2.95,859.6,0,1,0
0.65,859.6,0,1,0
1.25,859.6,0,1,0
2.55,859.6,0,1,0
0.85,859.6,0,1,0
1.49,859.6,0,1,0
3.75,859.6,0,1,0
1.25,859.6,0,1,0
1.49,859.6,0,1,0
0.85,859.6,0,1,0
3.75,859.6,0,1,0
2.95,859.6,0,1,0
6.75,859.6,0,1,0
6.75,859.6,0,1,0
0.95,859.6,0,1,0
3.75,859.6,0,1,0
1.25,859.6,0,1,0
0.85,859.6,0,1,0
2.55,859.6,0,1,0
1.25,859.6,0,1,0
2.55,859.6,0,1,0
2.1,859.6,0,1,0
1.25,859.6,0,1,0
4.65,859.6,0,1,0
1.25,859.6,0,1,0
2.95,859.6,0,1,0
1.25,859.6,0,1,0
1.25,859.6,0,1,0
1.95,859.6,0,1,0
2.55,859.6,0,1,0
3.75,859.6,0,1,0
2.95,859.6,0,1,0
4.95,859.6,0,1,0
1.95,859.6,0,1,0
1.25,859.6,0,1,0
0.42,859.6,0,1,0
1.25,859.6,0,1,0
1.25,859.6,0,1,0
1.25,859.6,0,1,0
1.25,859.6,0,1,0
1.25,859.6,0,1,0
1.25,859.6,0,1,0
4.25,859.6,0,1,0
1.25,859.6,0,1,0
0.42,859.6,0,1,0
0.85,859.6,0,1,0
0.85,859.6,0,1,0
2.95,859.6,0,1,0
0.85,859.6,0,1,0
2.1,859.6,0,1,0
5.95,859.6,0,1,0
7.95,859.6,0,1,0
4.95,859.6,0,1,0
5.95,859.6,0,1,0
3.75,859.6,0,1,0
5.95,859.6,0,1,0
1.25,859.6,0,1,0
1.25,859.6,0,1,0
1.25,859.6,0,1,0
1.25,859.6,0,1,0
7.95,859.6,0,1,0
5.95,859.6,0,1,0
6.75,859.6,0,1,0
2.1,859.6,0,1,0
6.75,859.6,0,1,0
2.95,859.6,0,1,0
2.25,859.6,0,1,0
2.25,859.6,0,1,0
0.42,859.6,0,1,0
0.42,859.6,0,1,0
0.55,859.6,0,1,0
2.55,859.6,0,1,0
2.25,859.6,0,1,0
6.75,859.6,0,1,0
6.75,859.6,0,1,0
3.75,859.6,0,1,0
2.95,859.6,0,1,0
