,Date,Retail Price Index
0,2009 JAN,828.8
1,2009 FEB,834
2,2009 MAR,833.6
3,2009 APR,834.4
4,2009 MAY,839.5
5,2009 JUN,841.9
6,2009 JUL,841.9
7,2009 AUG,845.8
8,2009 SEP,849.4
9,2009 OCT,852.1
10,2009 NOV,854.5
11,2009 DEC,860
12,2010 JAN,859.6
13,2010 FEB,864.7
14,2010 MAR,870.7
15,2010 APR,878.9
16,2010 MAY,882.1
17,2010 JUN,884.1
18,2010 JUL,882.1
19,2010 AUG,885.7
20,2010 SEP,888.8
21,2010 OCT,890.8
22,2010 NOV,894.7
23,2010 DEC,901
24,2011 JAN,903.4
25,2011 FEB,912.5
26,2011 MAR,917.2
27,2011 APR,924.7
28,2011 MAY,927.9
29,2011 JUN,927.9
30,2011 JUL,925.9
31,2011 AUG,931.4
32,2011 SEP,938.5
33,2011 OCT,938.9
34,2011 NOV,940.9
35,2011 DEC,944.4
